index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,title_norm,join_year,director,cast,country,date_added,rating,duration,listed_in
2259,tm358666,The Awakening of Motti Wolkenbruch,MOVIE,"The young Orthodox Jew, Motti Wolkenbruch, finds himself at a turning point. His beloved mother wants him to get married and presents one marriage candidate after the other. Unfortunately none of the woman pleases him, because they all look just like her. The situation gets even more complicated, when Motti secretly falls in love with the non-Jewish girl Laura, a so-called Shiksa.",2018,,94,tt4766630,6.6,4255.0,the awakening of motti wolkenbruch,2018.0,Michael Steiner,"Inge Maux, Noémie Schmidt, Joel Basman, Sunnyi Melles, Udo Samel, Rachel Braunschweig, Oriana Schrage, Meytal Gal",Switzerland,"October 25, 2019",TV-MA,94 min,"Comedies, Dramas, International Movies"
2260,ts82559,Amazing Interiors,SHOW,"Meet eccentric homeowners whose seemingly ordinary spaces are full of surprises, from a backyard roller coaster to an indoor aquarium.",2018,TV-PG,26,tt8747342,6.6,797.0,amazing interiors,2018.0,,,United Kingdom,"July 20, 2018",TV-PG,1 Season,"British TV Shows, International TV Shows, Reality TV"
2265,ts80313,Bobby Kennedy for President,SHOW,"Historic footage and leading voices of the era examine the ""Bobby Phenomenon"" of the 1960s and the legacy of the man who helped redefine the country.",2018,TV-MA,61,tt8200004,8.1,1759.0,bobby kennedy for president,2018.0,Dawn Porter,Robert F. Kennedy,,"April 27, 2018",TV-MA,1 Season,Docuseries
2267,tm427293,Solo,MOVIE,"After falling off a cliff and suffering substantial injures, for 48 long hours a young surfer must face a merciless nature and his own physical and mental agony to try to survive.",2018,,100,tt6699860,5.0,2747.0,solo,2018.0,Hugo Stuven,"Alain Hernández, Aura Garrido, Ben Temple",Spain,"January 11, 2019",TV-MA,91 min,"Dramas, Independent Movies, International Movies"
2268,tm327053,The Killer,MOVIE,"In lawless badlands, reclusive Cabeleira sets out to discover the fate of his gunman father and grows to be a feared assassin himself.",2017,,99,tt5379294,6.0,2642.0,the killer,2017.0,Marcelo Galvão,"Diogo Morgado, Etienne Chicot, Maria de Medeiros, Deto Montenegro, Jonas Leite, Paulo Gorgulho, Will Roberts, Allan Lima, Eduardo Galvão, Igor Galvão",Brazil,"November 10, 2017",TV-MA,100 min,"Action & Adventure, International Movies"
2272,tm238377,The Legacy of a Whitetail Deer Hunter,MOVIE,A star of hunting videos strives to bond with his 12-year-old son on a wilderness trip but learns familial connections can't be forced.,2018,,83,tt4762824,5.5,3909.0,the legacy of a whitetail deer hunter,2018.0,Jody Hill,"Josh Brolin, Danny McBride, Montana Jordan, Scoot McNairy, Carrie Coon",United States,"July 6, 2018",TV-14,83 min,"Action & Adventure, Comedies, Dramas"
2273,tm366820,Come Sunday,MOVIE,Evangelist Carlton Pearson is ostracized by his church for preaching that there is no Hell.,2018,,106,tt1690967,6.0,2287.0,come sunday,2018.0,Joshua Marston,"Chiwetel Ejiofor, Martin Sheen, Danny Glover, Jason Segel, Condola Rashad, Lakeith Stanfield, Stacey Sargeant, Vondie Curtis-Hall",United States,"April 13, 2018",TV-14,105 min,"Dramas, Faith & Spirituality, Independent Movies"
2275,tm313988,The Death and Life of Marsha P. Johnson,MOVIE,"Describing herself as a 'street queen,' Johnson was a legendary fixture in New York Cityâ€™s gay ghetto and a tireless voice for LGBT pride since the days of Stonewall, who along with fellow trans icon Sylvia Rivera, founded Street Transvestites Action Revolutionaries (S.T.A.R.), a trans activist group based in the heart of NYCâ€™s Greenwich Village. Her death in 1992 was declared a suicide by the NYPD, but friends never accepted that version of events. Structured as a whodunit, with activist Victoria Cruz cast as detective and audience surrogate, The Death and Life of Marsha P. Johnson celebrates the lasting political legacy of Johnson, while seeking to finally solve the mystery of her unexplained death.",2017,,105,tt5233558,7.2,2881.0,the death and life of marsha p. johnson,2017.0,David France,,"Greece, United States","October 6, 2017",TV-MA,106 min,"Documentaries, LGBTQ Movies"
2276,ts84932,Super Drags,SHOW,"In this adult animated series, three gay co-workers lead double lives as drag queen superheroes, saving the LGBTQ community from evil nemeses.",2018,TV-MA,25,tt8912244,5.4,1685.0,super drags,2018.0,,"Fernando Mendonça, Sérgio Cantú, Wagner Follare, Pabllo Vittar, Silvetty Montilla, Rapha Vélez, Sylvia Salustti, Guilherme Briggs",Brazil,"November 9, 2018",TV-MA,1 Season,"International TV Shows, TV Comedies"
2277,tm312767,Monster High: Electrified,MOVIE,"When Clawdeen dreams of opening a salon made for monsters and normies, Frankie has the perfect place - an abandoned power station outside town. But the idea sparks negative voltage when Moanica plots to ruin the whole thing, and replace the celebration with something a little more... shocking! Luckily the ghouls have a secret weapon on their side...Twyla, the daughter of the Boogey Man, and the perfect ghoul to unearth any mystery. Along with the most voltageous salon ever! So catch every twist, turn, zap and blast...because the Monster High ghouls are about to get ELECTRIC!",2017,PG,72,tt9408950,5.5,300.0,monster high: electrified,2017.0,Avgousta Zourelidi,"Debi Derryberry, Cassandra Morris, Salli Saffioti, Larissa Gallagher, Cristina Milizia, Jonquil Goode, Travis Dresden, Evan Smith, Michael Sorich, Sara Cravens",,"February 15, 2020",TV-Y,72 min,Movies
2278,tm320817,Mersal,MOVIE,"A few individuals in the medical profession are murdered or kidnapped, and the cop investigating the case suspects a doctor and arrests him. But is he the one who is behind these crimes? And why are they being committed?",2017,,169,tt6485666,8.1,32573.0,mersal,2017.0,Atlee Kumar,"Joseph Vijay, S.J. Surya, Kajal Aggarwal, Samantha Ruth Prabhu, Nithya Menon, Vadivelu, Sathyaraj",India,"August 21, 2018",TV-14,162 min,"Action & Adventure, Dramas, International Movies"
2280,tm370628,Fred Armisen: Standup for Drummers,MOVIE,"For an audience of drummers, comedian Fred Armisen shares and demonstrates his thoughts on musical genres, drummer quirks, regional accents and more.",2018,,65,tt7924798,5.8,1276.0,fred armisen: standup for drummers,2018.0,Lance Bangs,Fred Armisen,,"February 6, 2018",TV-PG,65 min,"Music & Musicals, Stand-Up Comedy"
2281,tm405738,Perdida,MOVIE,"A policewoman whose childhood friend disappeared in Patagonia years ago starts a new search to find answers, and soon finds her own life in danger.",2018,R,103,tt7841496,5.6,4684.0,perdida,2018.0,Alejandro Montiel,"Luisana Lopilato, Amaia Salamanca, Rafael Spregelburd, Nicolás Furtado, Oriana Sabatini, Pedro Casablanc, Arancha Martí, Carlos Alcántara, María Onetto, Sara Sálamo","Argentina, Spain","August 9, 2018",TV-MA,104 min,"Dramas, International Movies, Thrillers"
2282,tm371952,Sarkar,MOVIE,"NRI corporate Sundar Ramasamy comes to India to vote, only to learn that his vote has already been cast. While he reclaims his right legally, it also sets in motion a chain of events that eventually lead to him entering the political fray, trying to change the system.",2018,,164,tt8591968,7.0,18453.0,sarkar,2018.0,A.R. Murugadoss,"Vijay, Varalakshmi Sarathkumar, Keerthi Suresh, Radha Ravi, Pala Karuppaiah, Yogi Babu",,"March 2, 2019",TV-MA,162 min,"Action & Adventure, Dramas, International Movies"
2286,tm327622,S.W.A.T.: Under Siege,MOVIE,"When a D.E.A. and S.W.A.T. cartel takedown ends in a shootout, S.W.A.T. Agent Travis Hall seizes a mysterious prisoner taking him into custody. Before long, the S.W.A.T. compound is under siege by wave-after-wave of assault teams attempting to recover the prisoner known as â€œThe Scorpionâ€ for the tattoo blazed across his back. When Travis discovers that his prisoner is a Secret Ops double agent planted within the cartel, itâ€™s up to him and his expert S.W.A.T. team to keep â€œThe Scorpionâ€ and his billion dollar secrets safe.",2017,R,89,tt6014472,4.5,3524.0,s.w.a.t.: under siege,2017.0,Tony Giglio,"Sam Jaeger, Michael Jai White, Adrianne Palicki, Ty Olsson, Kyra Zagorsky, Olivia Cheng, Lisa Chandler, Monique Ganderton, Matthew Marsden, Chris Gauthier",United States,"April 1, 2021",R,89 min,"Action & Adventure, International Movies"
2287,tm430104,High Society,MOVIE,"The story of the journey of married couple up the social latter. The husband is professor at Seoul National University who is running for the National Assembly, and his wife is a painter.",2018,,119,tt8865580,5.5,984.0,high society,2018.0,Byun Hyuk,"Park Hae-il, Su Ae, Yoon Je-moon, Ra Mi-ran, Lee Jin-wook, Kim Gyu-sun, Han Ju-yeong, Kim Hae-gon, Nam Moon-cheol, Jang So-yeon",South Korea,"January 29, 2019",TV-MA,137 min,"Dramas, International Movies"
2288,tm443186,Generation Iron 3,MOVIE,"Traveling across the world including India, Brazil, Europe, Africa, Canada, and the USA - Generation Iron 3 will interview and follow bodybuilders, trainers, experts, and fans to determine what the universal ideal physique should look like. With so many divisions appearing within the bodybuilding leagues - what body type should be championed as the absolute best in the world?",2018,,75,tt8178958,6.2,3333.0,generation iron 3,2018.0,Vlad Yudin,,United States,"April 15, 2019",TV-MA,95 min,"Documentaries, Sports Movies"
2290,ts80057,Last Hope,SHOW,"After causing the near extinction of mankind seven years ago, genius scientist Leon Lau must now fight the ecological disaster he unwittingly created.",2018,TV-14,24,tt8893554,5.8,427.0,last hope,2018.0,,"Tomoaki Maeno, Kana Hanazawa, Kenjiro Tsuda, Nao Toyama, Yuma Uchida, Unsho Ishizuka, Yuuichirou Umehara, Ai Kayano",Japan,"December 21, 2018",TV-14,2 Seasons,"Anime Series, International TV Shows"
2292,tm313293,Whose Streets?,MOVIE,"A nonfiction account of the Ferguson uprising told by the people who lived it, this is an unflinching look at how the killing of 18-year-old Michael Brown inspired a community to fight backâ€”and sparked a global movement.",2017,R,90,tt6185288,5.5,1337.0,whose streets?,2017.0,"Sabaah Folayan, Damon Davis",,United States,"November 16, 2020",R,102 min,Documentaries
2293,tm349138,One of Us,MOVIE,"Penetrating the insular world of New York's Hasidic community, focusing on three individuals driven to break away despite threats of retaliation.",2017,,95,tt7214842,7.0,6482.0,one of us,2017.0,"Heidi Ewing, Rachel Grady",,United States,"October 20, 2017",TV-14,95 min,Documentaries
2294,tm376801,The Rachel Divide,MOVIE,Rachel Dolezal became infamous when she was unmasked as a white woman passing for black so thoroughly that she had become the head of her local N.A.A.C.P. chapter. This portrait cuts through the very public controversy to reveal Dolezalâ€™s motivations.,2018,,104,tt8106570,6.3,2512.0,the rachel divide,2018.0,Laura Brownson,,United States,"April 27, 2018",TV-MA,105 min,Documentaries
2296,tm358242,Brian Regan: Nunchucks and Flamethrowers,MOVIE,"Brian Regan takes relatable family humor to new heights as he talks board games, underwear elastic and looking for hot dogs in all the wrong places.",2017,,61,tt7679532,6.3,679.0,brian regan: nunchucks and flamethrowers,2017.0,Troy Miller,Brian Regan,United States,"November 21, 2017",TV-PG,61 min,Stand-Up Comedy
2298,tm409618,Alex Strangelove,MOVIE,"Alex Truelove is on a quest to lose his virginity, an event eagerly awaited by his patient girlfriend and cheered on with welcome advice by his rowdy friends. But Alex, a super gregarious dude, is oddly unmotivated. A magical house party throws Alex into the presence of Elliot, a hunky college guy, who pegs Alex as gay and flirts hard. Alex is taken aback but after a series of setbacks on the girlfriend front he takes the plunge and learns some interesting new facts about himself.",2018,R,99,tt5688996,6.3,17305.0,alex strangelove,2018.0,Craig Johnson,"Daniel Doheny, Madeline Weinstein, Antonio Marziale, Daniel Zolghadri, Annie Q., Nik Dodani, Fred Hechinger, Kathryn Erbe, Isabella Amara, Sophie Faulkenberry",United States,"June 8, 2018",TV-MA,100 min,"Comedies, Dramas, Independent Movies"
2301,tm372891,Chris Rock: Tamborine,MOVIE,"Chris Rock takes the stage for his first comedy special in 10 years, filled with searing observations on fatherhood, infidelity and American politics.",2018,,64,tt8005338,6.6,6816.0,chris rock: tamborine,2018.0,Bo Burnham,Chris Rock,United States,"February 14, 2018",TV-MA,65 min,Stand-Up Comedy
2302,ts82298,Familiar Wife,SHOW,"After receiving a bizarre chance to go back in time, a man wakes up to find that his whole life â€” including the person he married â€” is different.",2018,TV-MA,61,tt15062636,7.6,937.0,familiar wife,2018.0,,"Ji Sung, Han Ji-min, Kang Han-na, Jang Seung-jo",South Korea,"October 1, 2020",TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
2304,tm443034,Your Son,MOVIE,"Jaime, a doctor who lives in Seville, finds his life radicallychanged when his son is left fighting for his life after beingbeaten up during a robbery. The feelings of pain andhelplessness soon change to feelings of hate and anger,converting a good dad into a dehumanised man.",2018,,103,tt7807026,6.1,4708.0,your son,2018.0,Miguel Ángel Vivas,"José Coronado, Ana Wagener, Asia Ortega, Pol Monen, Ester Expósito","Spain, France","March 1, 2019",TV-MA,103 min,"Dramas, International Movies, Thrillers"
2305,tm318641,Justice,MOVIE,A U.S. Marshal seeking justice for his brother's murder defends a small town from a corrupt Mayor and his henchmen with intents to revive the civil war.,2017,R,92,tt5143890,4.0,1208.0,justice,2017.0,Richard Gabai,"Nathan Parsons, Jamie-Lynn Sigler, Ellen Hollman, John Lewis, Niko Foster, Quinton Aaron, Jackson Rathbone, Robert Carradine, Lesley-Anne Down, Stephen Lang",United States,"February 1, 2020",R,92 min,Movies
2308,tm366973,Tom Segura: Disgraceful,MOVIE,"Tom Segura gives voice to the sordid thoughts you'd never say out loud, with blunt musings on porn, parking lot power struggles, parenthood and more.",2018,PG-13,74,tt7379330,7.5,3695.0,tom segura: disgraceful,2018.0,Jay Karas,Tom Segura,United States,"January 12, 2018",TV-MA,71 min,Stand-Up Comedy
2310,tm420797,Sierra Burgess Is a Loser,MOVIE,A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,2018,PG-13,105,tt3120280,5.8,38319.0,sierra burgess is a loser,2018.0,Ian Samuels,"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz",United States,"September 7, 2018",PG-13,106 min,"Comedies, Romantic Movies"
2311,ts77770,Fate/Extra Last Encore,SHOW,"Hakuno Kishinami finds himself in the midst of a Holy Grail war with no memories of how he got there. Through his confusion, he must fight to survive.",2018,,25,tt7940468,5.4,772.0,fate/extra last encore,2018.0,,"Atsushi Abe, Sakura Tange, Kana Ueda, Hiroshi Kamiya, Noriko Shitaya, Kohsuke Toriumi, Urara Takano, Ai Nonaka, Kunihiko Yasui, Takahiro Mizushima",Japan,"October 30, 2018",TV-MA,2 Seasons,"Anime Series, International TV Shows"
2312,tm406098,Battle,MOVIE,"Amalie is the girl who has everything, good looks, money, a boyfriend and a big talent of dancing. One day, her world falls apart and she moves from everything she knows. Then enter Mikael. He is dancing in the streets and Amalie joins him in dancing on the streets, dancing Battles.",2018,R,95,tt6854672,5.9,4139.0,battle,2018.0,Katarina Launing,"Lisa Teige, Fabian Svegaard Tapia, Vebjørn Enger, Charlott Madeleine Utzig, Stig R. Amdam, Karen-Lise Mynster","Norway, Denmark, Netherlands, Sweden","December 1, 2018",TV-MA,98 min,"Dramas, International Movies, Romantic Movies"
2314,tm359714,Christmas Inheritance,MOVIE,"To inherit her father's company, socialite Ellen must first visit his small hometown, where she learns the value of hard work and helping others.",2017,,105,tt7608534,5.7,11693.0,christmas inheritance,2017.0,Ernie Barbarash,"Eliza Taylor, Jake Lacy, Andie MacDowell, Michael Xavier, Neil Crone, Anthony Sherwood, Joanna Douglas, Martin Roach",United States,"December 15, 2017",TV-G,105 min,"Dramas, International Movies, Romantic Movies"
2315,tm314705,Jo Koy: Live from Seattle,MOVIE,"Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you all about it.",2017,,63,tt6720442,7.1,1322.0,jo koy: live from seattle,2017.0,Shannon Hartman,Jo Koy,United States,"March 28, 2017",TV-MA,63 min,Stand-Up Comedy
2316,ts78913,Live,SHOW,The police officers at South Korea's busiest patrol division toil day and night as keepers of law and peace -- but the reality is far from orderly.,2018,,46,tt12094726,8.3,1208.0,live,2018.0,,"Jung Yu-mi, Lee Kwang-soo, Bae Seong-woo, Bae Jong-ok, Sung Dong-il",South Korea,"February 5, 2019",TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows"
2317,ts55936,My Secret Romance,SHOW,"After sharing a night with Jin Wook, Yoo Mi departs, never to see him again. Three years later, she achieves her goal of becoming a nutritionist.",2017,TV-14,52,tt6300100,7.2,3108.0,my secret romance,2017.0,,"Sung Hoon, Song Ji-eun, Kim Jae-young, Jeong Da-sol, Lee Kan-hee, Kim Jong-goo, Park Sin-un, Jeon So-min",South Korea,"April 25, 2020",TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
2318,tm413557,Okko's Inn,MOVIE,"12-year-old Oriko Seki, who lost her parents in a car accident, ended up living in her grandmother's Onsen Ryokan ""Haru no Ya."" With the ghost ""Uribou"" cohabitating with her and all the other odds, she ended up training to be a young female innkeeper. At first, she didn't like the training, but gradually felt her admiration for her title and began to train seriously. Thus, the growth of the young warrior Oriko begins.",2018,PG,94,tt8328740,7.0,1803.0,okko's inn,2018.0,Kitaro Kosaka,"Seiran Kobayashi, Nana Mizuki, Satsumi Matsuda, Rina Endo, Etsuko Kozakura, Yoko Asagami, Teiyu Ichiryusai, Masaki Terasoma, Hirohide Yakumaru, Anju Suzuki, Osamu Shitara, Mikako Komatsu, Horan Chiaki, Koichi Yamadera, Fumiko Orikasa",Japan,"June 12, 2020",PG,96 min,"Anime Features, Children & Family Movies"
2319,ts81944,The Comedy Lineup,SHOW,A diverse group of up-and-coming comedians perform 15-minute sets in this stand-up comedy showcase series.,2018,TV-MA,18,tt8687584,5.9,457.0,the comedy lineup,2018.0,,"Michelle Buteau, Ian Karmel, Taylor Tomlinson, Sam Jay, Phil Wang, Sabrina Jalees, Jak Knight, Tim Dillon",United States,"August 31, 2018",TV-MA,2 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies"
2320,tm363787,Christmas in the Heartland,MOVIE,"Kara and Jessie are two teenage girls from very different worlds, but with a little Christmas magic, they find they have much more in common than they ever imagined.",2017,,90,tt3396114,5.9,1414.0,christmas in the heartland,2017.0,Harvey Lowry,"Sierra McCormick, Brighton Sharbino, Bo Derek, Shelley Long, Christopher Rich, JoeDon Rooney, Tiffany Fallon, Paula Trickey, Christian Kane",United States,"November 1, 2019",TV-PG,112 min,Dramas
2321,tm371630,How to Be Really Bad,MOVIE,"The life of 14-year-old Lilith is similar to that of a normal teenager, but there is a peculiarity: she is the daughter of the devil and lives with him in hell. Because she is totally bored there and also wants to have fun and explore the world, she makes a pact with her father: she is allowed to go to earth for a week - but she has to convert a good person to evil there. If she succeeds in this challenge, she may stay on earth forever, otherwise she'll be waving a hell of a boring job in the bookkeeping of the underworld.",2018,,100,tt5571754,6.2,1076.0,how to be really bad,2018.0,Marco Petry,"Emma Bading, Janina Fautz, Ludwig Simon, Samuel Finzi, Emilio Sakraya, Oliver Korittke, Alwara Höfels, Matilda Marz, Amina Merai, Johann von Bülow, Axel Stein, Theo Trebs",Germany,"March 1, 2021",TV-14,100 min,"Comedies, International Movies"
2322,ts84597,FIGHTWORLD,SHOW,"Actor and fight enthusiast Frank Grillo travels the world, immersing himself in different fight cultures to understand their traditions and motivations.",2018,TV-MA,42,tt9047526,7.6,806.0,fightworld,2018.0,Padraic McKinley,Frank Grillo,,"October 12, 2018",TV-MA,1 Season,Docuseries
2323,tm355724,A Christmas Prince,MOVIE,"When a reporter goes undercover as a nanny to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",2017,PG,92,tt7608418,5.7,19456.0,a christmas prince,2017.0,Alex Zamm,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey",United States,"November 17, 2017",TV-PG,92 min,"Children & Family Movies, Dramas, Romantic Movies"
2324,ts76478,Prison Playbook,SHOW,"With his major league baseball debut right around the corner, a star pitcher lands in prison and must learn to navigate his new world.",2017,,91,tt7622902,8.5,3060.0,prison playbook,2017.0,,"Hae-soo Park, Kyung-ho Jung, Dong-il Sung, Krystal Jung, Soo-jeong Ye, Jae-sung Jung, Hoon-jin Lee, Kyoo-hyung Lee, Ho-cheol Lee, Chang-hwan Ahn, Kyung-nam Kim",South Korea,"January 24, 2018",TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Comedies"
2325,ts78767,First Team: Juventus,SHOW,Follow renowned soccer club Juventus on and off the pitch as they attempt to win a seventh straight Italian title and achieve Champions League glory.,2018,TV-G,36,tt7924812,7.3,2061.0,first team: juventus,2018.0,,,United States,"July 6, 2018",TV-PG,2 Seasons,"Docuseries, International TV Shows"
2327,tm420989,Father of the Year,MOVIE,"Two college grads return to their hometown, where a hypothetical question -- whose dad would win in a fight? -- leads to mass mayhem.",2018,,94,tt7256866,5.2,11281.0,father of the year,2018.0,,"David Spade, Nat Faxon, Joey Bragg, Matt Shively, Bridgit Mendler, Jackie Sandler, Mary Gillis",United States,"July 20, 2018",TV-MA,95 min,Comedies
2328,ts85732,The Final Table,SHOW,Team of chefs vie to impress some of the world's toughest palates as they whip up iconic dishes from different nations in this fast-paced competition.,2018,TV-PG,43,tt5545584,7.6,3989.0,the final table,2018.0,,Andrew Knowlton,United States,"November 20, 2018",TV-PG,1 Season,Reality TV
2329,tm348010,Killing Hasselhoff,MOVIE,"A man in a high stakes celebrity death pool quickly loses everything - his business, his bank account, his home, his fiancÃ©. He snaps, then realizes the only way to get his life back on track. He'll have to murder his own celebrity. He'll have to kill Hasselhoff.",2017,R,79,tt2967226,4.4,2655.0,killing hasselhoff,2017.0,Darren Grant,"Ken Jeong, David Hasselhoff, Jim Jefferies, Jon Lovitz, Rhys Darby, Dan Bakkedahl, Jennifer Ikeda, Will Sasso, Colton Dunn",United States,"August 1, 2020",R,80 min,Comedies
2330,tm357552,Pottersville,MOVIE,"Maynard, a beloved local businessman is mistaken for the legendary Bigfoot during an inebriated romp through town in a makeshift gorilla costume. The sightings set off an international Bigfoot media spectacle and a windfall of tourism dollars for a simple American town hit by hard times. When Brock Masterson, reality TVâ€™s â€œMonster Hunter,â€ arrives to hunt the beast, Maynard agonizes over whether to come clean, destroying the rebirth of his beloved town, or perpetuate the inadvertent hoax.",2017,,85,tt3672120,5.4,4674.0,pottersville,2017.0,Seth Henrikson,"Michael Shannon, Judy Greer, Thomas Lennon, Ron Perlman, Christina Hendricks, Ian McShane",United States,"December 15, 2017",PG-13,86 min,"Comedies, Independent Movies"
2332,ts82875,Switched,SHOW,"High schooler Ayumi's perfect world evaporates when her envious classmate Zenko somehow steals her body, her boyfriend and her life.",2018,TV-MA,39,tt8747882,7.1,1402.0,switched,2018.0,,"Daiki Shigeoka, Tomohiro Kamiyama, Kaya Kiyohara, Miu Tomita, Reika Kirishima, Shinji Rokkaku, Miu Suzuki, Riko Hisada, Megumi Seki, Shoko Nakajima",Japan,"August 1, 2018",TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
2333,tm414676,Paradise Lost,MOVIE,"Marked by losses and mismatches, JosÃ©'s eccentric family seek to be happy while locked in ParaÃ­so Perdido, a nightclub that has stopped in time, where they sing popular romantic music.",2018,,110,tt6955878,6.9,674.0,paradise lost,2018.0,Monique Gardenberg,"Júlio Andrade, Lee Taylor, Hermila Guedes, Julia Konrad, Erasmo Carlos, Marjorie Estiano, Seu Jorge, Jaloo, Felipe Abib, Humberto Carrão, Malu Galli",Brazil,"September 29, 2018",TV-MA,111 min,"Dramas, Independent Movies, International Movies"
2334,tm437631,Derren Brown: Sacrifice,MOVIE,Illusionist Derren Brown concocts a psychological experiment in which he tries to manipulate an ordinary person into taking a bullet for a stranger.,2018,,49,tt9077188,7.1,1786.0,derren brown: sacrifice,2018.0,,Derren Brown,,"October 19, 2018",TV-MA,50 min,Movies
2337,tm404690,Happy Anniversary,MOVIE,A quirky couple spends their three-year dating anniversary looking back at their relationship and contemplating whether they should break up.,2018,,78,tt6423886,5.7,4219.0,happy anniversary,2018.0,Jared Stern,"Noël Wells, Ben Schwartz, Joe Pantoliano, Annie Potts, Rahul Kohli, Kristin Bauer van Straten, David Walton, Leonardo Nam, Kate Berlant",United States,"March 30, 2018",TV-MA,78 min,"Comedies, Romantic Movies"
2338,tm320249,Maria Bamford: Old Baby,MOVIE,She's savagely upbeat. Lovably awkward. And full of surprises. A wildly funny trip through a one-of-a-kind comic mind.,2017,,64,tt6264596,6.1,945.0,maria bamford: old baby,2017.0,Jessica Yu,Maria Bamford,United States,"May 2, 2017",TV-MA,64 min,Stand-Up Comedy
2344,ts56636,My Sassy Girl,SHOW,"Set in the Joseon Dynasty period, a romance takes place between cold-hearted Gyun-Woo and Princess Hyemyung who causes troubles.",2017,TV-14,41,tt6175760,6.9,561.0,my sassy girl,2017.0,,"Joo Won, Oh Yeon-seo, Lee Jung-shin, Kim Yoon-hye, Sohn Chang-min, Yoon Se-a, Cho Hee-bong, Jung Woong-in, Lee Kyung-hwa",South Korea,"November 15, 2019",TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
2346,tm375729,Us and Them,MOVIE,"Ten years ago, on a train home during the busy Spring Festival travel period, fate brings Xiaoxiao and Jianqing together. Like many young couples, they meet, fall in love, and strive to make it work, but eventually, the harsh realities of life make them drift apart. Ten years later, they run into each other again. Will they make the most of this second chance and rekindle what they once lost?",2018,,120,tt8521758,7.4,4026.0,us and them,2018.0,Rene Liu,"Jing Boran, Zhou Dongyu, Zhuangzhuang Tian, Qu Zheming, Zhang Zixian",China,"June 22, 2018",TV-MA,119 min,"Dramas, International Movies, Romantic Movies"
2347,ts75012,Million Yen Women,SHOW,"Five beautiful but mysterious women move in with unsuccessful novelist Shin, who manages their odd household in exchange for a tidy monthly sum.",2017,,30,tt6686450,7.6,1794.0,million yen women,2017.0,,"Yojiro Noda, Rila Fukushima, Rena Matsui, Miwako Wagatsuma, Rena Takeda, Yuko Araki, Yuya Endo, Kaito Yoshimura, Moeka Hoshi, Juri Ihata, Mariko Tsutsui, Kanji Furutachi, Tetsuhiro Ikeda, Takashi Yamanaka, Tomoya Nakamura, Lily Franky",Japan,"August 15, 2017",TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
2349,ts57148,Champions,SHOW,"Vince, a charismatic gym owner with no ambition lives with his younger brother Michael, a gorgeous idiot. Their simple life of women and working out is put on hold when the teenage son of Vince is dropped off on their doorstep by Priya, one of his old high school flings.",2018,TV-PG,21,tt6470396,6.1,3736.0,champions,2018.0,,"Anders Holm, Fortune Feimster, Andy Favreau, J.J. Totah, Mouzam Makkar, Yassir Lester, Robert Costanzo, Ginger Gonzaga, Mindy Kaling",United States,"June 19, 2021",TV-14,1 Season,TV Comedies
2350,tm311319,Manhunt,MOVIE,"Accused of a murder he didn't commit, a prosecutor sets out on a mission to clear his name.",2017,,106,tt4537986,5.2,3210.0,manhunt,2017.0,John Woo,"Zhang Hanyu, Masaharu Fukuyama, Qi Wei, Ji-won Ha, Jun Kunimura, Angeles Woo, Nanami Sakuraba","China, Hong Kong","May 4, 2018",TV-MA,109 min,"Action & Adventure, International Movies"
2351,ts83359,100 Days My Prince,SHOW,"Lee Yool falls off a cliff and nearly dies in an attempted assassination. He loses his memory, and wanders for 100 days under a new name and personality. During this period, he meets Hong Sim, head of the first detective agency in Joseon.",2018,TV-14,75,tt8199972,7.8,1938.0,100 days my prince,2018.0,,"Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee",South Korea,"December 7, 2020",TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
