index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,title_norm,join_year,director,cast,country,date_added,rating,duration,listed_in
899,tm181270,The Frozen Ground,MOVIE,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,2013,R,105,tt2005374,6.4,62183.0,the frozen ground,2013.0,Scott Walker,"Nicolas Cage, John Cusack, Vanessa Hudgens, Dean Norris, Radha Mitchell, 50 Cent, Kevin Dunn, Olga Valentina, Michael McGrady, Jodi Lyn O'Keefe",United States,"August 27, 2020",R,106 min,"Dramas, Thrillers"
904,tm237143,Shrek the Musical,MOVIE,Shrek The Musical is a musical with music by Jeanine Tesori and book and lyrics by David Lindsay-Abaire. It is based on the 2001 DreamWorks Animation's film Shrek and William Steig's 1990 book Shrek! It was nominated for 8 Tony Awards including Best Musical.,2013,PG-13,130,tt3070936,6.9,3634.0,shrek the musical,2013.0,Jason Moore,"Brian d'Arcy James, Daniel Breaker, Sutton Foster, Christopher Sieber, John Tartaglia, Rozi Baker, Ryan Duncan, Leah Greenhaus, Chris Hoch, Marissa O'Donnell, Denny Paschall",United States,"December 29, 2013",TV-G,130 min,"Children & Family Movies, Comedies, Music & Musicals"
908,tm178712,Scary Movie 5,MOVIE,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.",2013,PG-13,86,tt0795461,3.5,70814.0,scary movie 5,2013.0,Malcolm D. Lee,"Simon Rex, Ashley Tisdale, Charlie Sheen, Lindsay Lohan, Gracie Whitton, Ava Kolker, Erica Ash, Lidia Porto, Katrina Bowden, Terry Crews",United States,"August 12, 2020",PG-13,88 min,"Comedies, Horror Movies"
912,tm187979,Cloudy with a Chance of Meatballs 2,MOVIE,"After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",2013,PG,95,tt1985966,6.3,100637.0,cloudy with a chance of meatballs 2,2013.0,"Cody Cameron, Kris Pearn","Bill Hader, Anna Faris, James Caan, Will Forte, Andy Samberg, Benjamin Bratt, Neil Patrick Harris, Terry Crews, Kristen Schaal",United States,"November 15, 2020",PG,95 min,"Children & Family Movies, Comedies"
921,tm161029,Mr. Peabody & Sherman,MOVIE,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-machine is stolen and moments in history begin to be changed.",2014,PG,92,tt0864835,6.8,68790.0,mr. peabody & sherman,2014.0,Rob Minkoff,"Ty Burrell, Max Charles, Ariel Winter, Stephen Colbert, Leslie Mann, Stanley Tucci, Allison Janney, Mel Brooks, Patrick Warburton, Stephen Tobolowsky, Lake Bell",United States,"August 11, 2020",PG,93 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
922,tm143474,Vampire Academy,MOVIE,"Rose, a rebellious half-vampire/half-human guardian-in-training and her best friend, Lissa -- a mortal, royal vampire Princess - have been on the run when they are captured and returned to St. Vladamirs Academy, the very place where they believe their lives may be in most jeopardy. Rose will sacrifice everything to protect Lissa from those who intend to exploit her from within the Academy walls and the Strigoi (immortal, evil vampires) who hunt her kind from outside its sanctuary.",2014,PG-13,104,tt1686821,5.4,54190.0,vampire academy,2014.0,Mark Waters,"Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne, Dominic Sherwood, Sarah Hyland, Sami Gayle","United States, United Kingdom","June 7, 2021",PG-13,104 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy"
924,tm141648,Seventh Son,MOVIE,"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?",2014,PG-13,120,tt1121096,5.5,76395.0,seventh son,2014.0,Sergei Bodrov,"Jeff Bridges, Ben Barnes, Julianne Moore, Alicia Vikander, Antje Traue, Olivia Williams, John DeSantis, Kit Harington, Djimon Hounsou, Gerard Plunkett, Jason Scott Lee","United States, United Kingdom, Canada, China","August 16, 2020",PG-13,102 min,"Action & Adventure, Sci-Fi & Fantasy"
927,tm142856,Sabotage,MOVIE,"John ""Breacher"" Wharton leads an elite DEA task force that takes on the world's deadliest drug cartels. When the team successfully executes a high-stakes raid on a cartel safe house, they think their work is done â€“ until, one-by-one, the team members mysteriously start to be eliminated. As the body count rises, everyone is a suspect.",2014,R,109,tt1742334,5.7,63007.0,sabotage,2014.0,David Ayer,"Arnold Schwarzenegger, Sam Worthington, Olivia Williams, Terrence Howard, Joe Manganiello, Josh Holloway, Mireille Enos, Harold Perrineau, Martin Donovan, Max Martini, Mark Schlegel, Kevin Vance",United States,"May 19, 2021",R,109 min,"Action & Adventure, Dramas"
928,ts22426,The Irregular at Magic High School,SHOW,In a world where magic is not a fairy tale but has existed for one hundred years siblings Tatsuya and Miyuki Shiba prepare to begin their studies at the elite Private Magic University Affiliated High School (Magic High School for short). Entering on different levels of the academic spectrum the two turn the once peaceful campus into a chaotic one.,2014,TV-14,24,tt3874528,7.1,3273.0,the irregular at magic high school,2014.0,,"Yuichi Nakamura, Saori Hayami, Yumi Uchiyama, Takuma Terashima, Satomi Sato, Atsushi Tamaru, Sora Amamiya, Yuiko Tatsumi, Marina Inoue, Ryohei Kimura, Junichi Suwabe, Kana Hanazawa, Mai Nakahara, Saki Ogasawara, Haruka Tomatsu, Tomokazu Sugita, Yoshitsugu Matsuoka, Ayumu Murase",Japan,"November 15, 2017",TV-14,1 Season,"Anime Series, International TV Shows, Teen TV Shows"
929,tm181081,The Railway Man,MOVIE,"A victim from World War II's ""Death Railway"" sets out to find those responsible for his torture. A true story.",2013,R,116,tt2058107,7.1,39743.0,the railway man,2013.0,Jonathan Teplitzky,"Colin Firth, Nicole Kidman, Jeremy Irvine, Stellan Skarsgård, Sam Reid, Hiroyuki Sanada, Michael MacKenzie, Tom Stokes","Switzerland, United Kingdom, Australia","August 11, 2021",R,108 min,"Dramas, International Movies"
