index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,title_norm,join_year,director,cast,country,date_added,rating,duration,listed_in,desc_len,duration_minutes,imdb_votes_log1p,is_show,is_classic,num_genres
4645,tm976166,Malcolm & Marie,MOVIE,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.",2021,R,106,tt12676326,6.6,35760.0,malcolm & marie,,Sam Levinson,"Zendaya, John David Washington",United States,"February 5, 2021",R,106 min,"Dramas, Independent Movies",153,106.0,10.484613193102275,0,0,2
4646,tm949309,The White Tiger,MOVIE,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,2021,R,125,tt6571548,7.1,58190.0,the white tiger,,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Mahesh Manjrekar, Vijay Maurya","India, United States","January 22, 2021",R,127 min,Dramas,151,127.0,10.971485982586401,0,0,1
4647,tm1018890,Seaspiracy,MOVIE,"Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species â€” and uncovers an alarming global conspiracy.",2021,Unknown,80,tt14152756,8.1,29604.0,seaspiracy,,Ali Tabrizi,,United States,"March 24, 2021",TV-14,90 min,Documentaries,151,90.0,10.295698544965877,0,0,1
4649,tm1064228,Fatherhood,MOVIE,"A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story.",2021,PG-13,109,tt4733624,6.6,34661.0,fatherhood,,Paul Weitz,"Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise, Frankie Faison, Anthony Carrigan, Paul Reiser, Melody Hurd",United States,"June 18, 2021",PG-13,111 min,Dramas,146,111.0,10.45339926500932,0,0,1
4650,ts314742,He-Man and the Masters of the Universe,SHOW,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull â€” and their destiny to defend Eternia from sinister Skeletor.,2021,TV-Y7,26,tt11465278,5.8,1618.0,he-man and the masters of the universe,,,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,"September 16, 2021",TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",154,26.0,7.389563953677635,1,0,2
4651,tm1018427,Moxie,MOVIE,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",2021,PG-13,111,tt7737700,6.7,24003.0,moxie,,Amy Poehler,"Hadley Robinson, Lauren Tsai, Patrick Schwarzenegger, Nico Hiraga, Sydney Park, Josephine Langford, Clark Gregg, Josie Totah, Alycia  Pascual-Peña, Anjelika Washington, Charlie Hall, Sabrina Haskett, Ike Barinholtz, Amy Poehler, Marcia Gay Harden",United States,"March 3, 2021",PG-13,112 min,"Comedies, Dramas, Music & Musicals",145,112.0,10.085975762109403,0,0,3
4652,tm855075,Rurouni Kenshin: The Beginning,MOVIE,"Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets gentle Tomoe Yukishiro, a beautiful young woman who carries a huge burden in her heart, his life will change forever.",2021,R,138,tt11991748,7.4,7958.0,rurouni kenshin: the beginning,,Keishi Otomo,"Takeru Satoh, Kasumi Arimura, Issey Takahashi, Nijiro Murakami, Masanobu Ando, Kazuki Kitamura, Yosuke Eguchi",Unknown,"July 30, 2021",TV-MA,138 min,"Action & Adventure, International Movies",213,138.0,8.98205864280585,0,0,2
4656,ts286317,The Sons of Sam: A Descent Into Darkness,SHOW,"The Son of Sam case grew into a lifelong obsession for journalist Maury Terry, who became convinced that the murders were linked to a satanic cult.",2021,TV-MA,60,tt13156316,7.0,8124.0,the sons of sam: a descent into darkness,,Joshua Zeman,,United States,"May 5, 2021",TV-MA,1 Season,"Crime TV Shows, Docuseries",147,60.0,9.002701007197938,1,0,2
4661,ts296825,Gone for Good,SHOW,"Ten years ago, he lost two loved ones. When his fiancÃ©e disappears, he must uncover buried secrets â€” or lose everything. Based on Harlan Coben's novel.",2021,TV-MA,49,tt14252964,6.3,3863.0,gone for good,,Juan Carlos Medina,"Finnegan Oldfield, Nicolas Duvauchelle, Guillaume Gouix, Garance Marillier, Nailia Harzoune",France,"August 13, 2021",TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",154,49.0,8.259458195332408,1,0,3
4662,ts256311,High-Rise Invasion,SHOW,"High-school girl Yuri suddenly finds herself on the rooftop of a high-rise building. She's trapped in a bizarre world surrounded by skyscrapers, where a masked man cracked open a man's head with an axe before her eyes. Finding a way to survive this bizarre world, find her beloved brother, and escape becomes her top priority, but she is beset by danger not just from the mysterious Masks, which possess both inhuman strength and cruelty, but other survivors turned cruel or desparate by the insanity of the high-rise world.",2021,TV-MA,25,tt13357164,6.6,2575.0,high-rise invasion,,,"Haruka Shiraishi, Shiki Aoki, Akira Sekine, Junya Enoki, Yuuichirou Umehara, Megumi Ogata, Shoya Chiba, Makoto Furukawa, Seiro Ogino, Koji Yusa, Chika Anzai, Asami Seto, Shizuka Ito, Juri Kimura, Kaito Ishikawa, Yoko Hikasa, Jun Fukuyama",Japan,"April 15, 2021",TV-MA,1 Season,"Anime Series, International TV Shows, TV Thrillers",524,25.0,7.853993087224244,1,0,3
4663,ts269881,Record of Ragnarok,SHOW,"Before eradicating humankind from the world, the gods give them one last chance to prove themselves worthy of survival. Let the Ragnarok battles begin.",2021,TV-MA,24,tt13676344,6.2,4647.0,record of ragnarok,,,"Miyuki Sawashiro, Tomoyo Kurosawa, Tomokazu Seki, Soma Saito, Kazuhiro Yamaji, Hikaru Midorikawa, Wataru Takagi, Takahiro Sakurai, Junichi Suwabe, Yukihiro Nozuyama, Hinata Tadokoro, Taisuke Nakano, Tomohiro Yamaguchi, Tatsuhisa Suzuki, Rie Tanaka, Yoshitsugu Matsuoka, Sho Hayami",Unknown,"June 17, 2021",TV-MA,1 Season,"Anime Series, International TV Shows",151,24.0,8.444192298531748,1,0,2
4666,tm1038327,Beckett,MOVIE,An American tourist in Greece finds himself on the run after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.,2021,R,109,tt10230994,5.6,25253.0,beckett,,Ferdinando Cito Filomarino,"John David Washington, Boyd Holbrook, Alicia Vikander, Vicky Krieps, Lena Kitsopoulou, Panos Koronis, Maria Votti","Italy, Brazil, Greece","August 13, 2021",TV-MA,110 min,Action & Adventure,161,110.0,10.136739837998626,0,0,1
4668,ts287294,"Money, Explained",SHOW,"We spend it, we borrow it, and save it. Now let's talk about money and its many minefields, from credit cards to casino, scammers to student loans.",2021,TV-14,23,tt14492910,6.9,2143.0,"money, explained",,,,United States,"May 11, 2021",TV-14,1 Season,Docuseries,147,23.0,7.670428522190693,1,0,1
4670,ts312071,The Way of the Househusband,SHOW,"Tatsu, a notorious and feared yakuza leader nicknamed ""The Immortal Dragon,"" withdraws from the criminal syndicate and becomes a housekeeper to help his wife, Miku. The series features a variety of comedic settings, typically showing Tatsu's domestic activities and intimidating inequality with his looks, as well as multiple encounters with his former colleagues and rivals in the Japanese Criminal Syndicate.",2021,TV-MA,17,tt13357124,7.3,3724.0,the way of the househusband,,,"Kenjiro Tsuda, Shizuka Ito, Kazuyuki Okitsu, M・A・O, Jun Fukushima, Kimiko Saito, Yoshimasa Hosoya, Masashi Nogawa, Junichi Yanagida, Hochu Otsuka, Atsuko Tanaka",Japan,"April 8, 2021",TV-MA,1 Season,"Anime Series, International TV Shows",410,17.0,8.22282213081366,1,0,2
4671,ts271888,Fate: The Winx Saga,SHOW,"The coming-of-age journey of five fairies attending Alfea, a magical boarding school in the Otherworld where they must learn to master their powers while navigating love, rivalries, and the monsters that threaten their very existence.",2021,TV-MA,50,tt8179402,6.8,37995.0,fate: the winx saga,,,"Abigail Cowen, Hannah Van Der Westhuysen, Precious Mustapha, Eliot Salt, Elisha Applebaum, Danny Griffin, Sadie Soverall, Freddie Thorp, Rob James-Collier, Eve Best, Lesley Sharp","Italy, United Kingdom","April 14, 2021",TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas",234,50.0,10.545236170010073,1,0,3
4672,ts250092,Shaman King,SHOW,"Shaman King follows the adventures of a 13-year-old shaman and his teammate a samurai warrior spirit, who traverse the world fighting evil spirits and misguided shamans on their journey to be the next Shaman King.",2021,TV-PG,23,tt12502782,7.0,1480.0,shaman king,,,"Yoko Hikasa, Katsuyuki Konishi, Megumi Hayashibara, Inuko Inuyama, Romi Park, Kosuke Takaguchi, Masahiko Tanaka, Wataru Takagi, Yuji Ueda, Megumi Nakajima, Takehito Koyasu, Yoko Soumi, Motoko Kumai, Yui Horie, Yuichi Nakamura, Nana Mizuki, Takumu Miyazono, Noriaki Kanze, Michiko Neya, Toru Sakurai, Rina Hidaka, Masakazu Morita, Minami Takayama",Japan,"August 9, 2021",TV-14,1 Season,"Anime Series, International TV Shows",213,23.0,7.300472814267799,1,0,2
