index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,title_norm,director,cast,country,date_added,rating,duration,listed_in
969,tm172710,We Steal Secrets: The Story of WikiLeaks,MOVIE,"Julian Assange. Bradley Manning. Collateral murder. Cablegate. WikiLeaks. These people and terms have exploded into public consciousness by fundamentally changing the way democratic societies deal with privacy, secrecy, and the right to information, perhaps for generations to come. We Steal Secrets: The Story of WikiLeaks is an extensive examination of all things related to WikiLeaks and the larger global debate over access to information.",2013,R,162,tt1824254,6.9,7873.0,we steal secrets: the story of wikileaks,,,,,,,
971,tm174289,Free Birds,MOVIE,Two turkeys from opposite sides of the tracks must put aside their differences and team up to travel back in time to change the course of historyâ€”and get turkey off the holiday menu for good.,2013,PG,91,tt1621039,5.8,23917.0,free birds,,,,,,,
979,tm152273,Tiger & Bunny: The Rising,MOVIE,"The heroes of 'Tiger & Bunny' are back in an all-new feature-length film! Picking up after the events of the Maverick incident, Kotetsu T. Kaburagi, a.k.k Wild Tiger, and Barnaby Brooks Jr. resume their careers as heroes fighting crime in Hero TV's Second League. Their partnership comes to a sudden end when Apollon Media's new owner Mark Schneider fires Kotetsu and moves Barnaby back into the First League, pairing him up with Golden Ryan, a new hero with awesome powers and a huge ego to match.  When the heroes are sent to investigate a string of strange incidents tied closely to the city's Goddess Legend, they discover three super powered NEXTs plotting to bring terror and destruction to Stern Bild. With the lives of millions hanging in the balance, Barnaby and Goden Ryan must overcome their differences to contain the approaching doom, while a jobless Kotetsu's resolve as a hero is put to the test as he struggles to help his fellow heroes from the sidelines.",2014,,101,tt4625302,6.8,265.0,tiger & bunny: the rising,,,,,,,
980,tm2269,Selfie,MOVIE,"Yasmine , Roxi and Ana run away to the seaside two days before their finals to have the time of their lives.",2014,,123,tt3102208,6.0,1671.0,selfie,,,,,,,
985,ts53641,Lalaloopsy,SHOW,"The Lalaloopsy gang and their adorable pets know every day is a perfect day to celebrate the magic of friendship, creativity and collaboration.",2013,TV-Y,23,tt2827502,6.4,104.0,lalaloopsy,,,,,,,
986,ts37187,Senora Acero,SHOW,"The adventures of Vicenta Acero, the feared coyote who now leads the dynasty of illicit dealings once under the control of her father.",2014,TV-MA,43,tt3904068,6.8,375.0,senora acero,,,,,,,
989,ts75104,Zbrodnia,SHOW,The peaceful lives of the residents inhabiting a seaside town are shaken following a series of macabre crimes.,2014,TV-MA,45,tt4173216,6.2,660.0,zbrodnia,,,,,,,
990,tm144021,LEGO DC Comics Super Heroes: Batman Be-Leaguered,MOVIE,"When Batman, claiming to be a loner, refuses to join the Justice League, he is drawn into working with them when they are kidnapped one-by-one and held prisoner by one of Batman's nemeses.",2014,,22,tt4189294,6.5,1305.0,lego dc comics super heroes: batman be-leaguered,,,,,,,
993,tm168685,The Berlin File,MOVIE,"When an illicit arms deal goes bad, North Korean spy Pyo Jong-seong finds himself targeted not just by the South Koreans but also his own bosses.",2013,,120,tt2357377,6.6,7103.0,the berlin file,,,,,,,
994,tm182275,Omar,MOVIE,"The drama, the story of three childhood friends and a young woman who are torn apart in their fight for freedom, is billed as the first fully-financed film to come out of the Palestinian cinema industry.",2013,,96,tt2852406,7.5,14230.0,omar,,,,,,,
1004,tm148662,The Boss: Anatomy of a Crime,MOVIE,"This incredibly disturbing story follows the exploitation of an apprentice butcher, HermÃ³genes, and his trial after he murders his boss in broad daylight. HermÃ³genes, a farmhand from northern Argentina, relocates to Buenos Aires in search of a better life for himself and his young wife, but soon finds himself at the mercy of a corrupt boss. The film is based on a thorough investigation of a real event that happened in Buenos Aires 10 years ago. Almost every scene in the film is inspired by real facts or based on well documented daily practices of the â€œmeat businessâ€ and its environment. Both a shocking exposÃ© of unscrupulous practices in the meat industry and a heart-wrenching personal story, El PatrÃ³n became one of the most successful Argentine films of 2014.",2014,,98,tt3854234,7.3,2105.0,the boss: anatomy of a crime,,,,,,,
1005,ts154625,DÃ©rapages,SHOW,"Alain Delambre, unemployed and 57, is lured by an attractive job opening. But things get ugly when he realizes heâ€™s a pawn in a cruel corporate game.",2014,,53,tt12101170,7.9,14.0,dã©rapages,,,,,,,
1006,ts76743,Dokidoki! PreCure,SHOW,"Thanks to Sharuru, a fairy from the Trump Kingdom, and the power of mysterious accessories called Cure Lovies, Mana transforms into Cure Heart! Mana, her close friend Rikka, her high-class childhood friend Alice, and the enigmatic, cool super idol singer Makoto all become legendary saviors. Together, they purify the Jikochu, who have forgotten about love!",2013,TV-G,23,tt4621212,6.3,188.0,dokidoki! precure,,,,,,,
1008,tm148597,Monty Python: Live (Mostly),MOVIE,"Celebrate the last night of the Pythons on the big screen! - With John Cleese, Eric Idle, Terry Gilliam, Terry Jones and Michael Palin.",2014,R,138,tt3872778,7.6,2598.0,monty python: live (mostly),,,,,,,
1009,tm145791,Miss Granny,MOVIE,An unappreciated old granny magically turns 20 years old again and decides to make the most of her newfound youth.,2014,,124,tt3516378,7.2,3433.0,miss granny,,,,,,,
1016,ts20781,Incomplete Life,SHOW,"Equipped with nothing more than a GED and strategies for the game of go, an office intern gets thrown into the cold reality of the corporate world.",2014,TV-14,73,tt4240730,8.6,1883.0,incomplete life,,,,,,,
